;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57
10;42,62373293;45,58630242;47,56515721;40,35086321;40,77813156;44,32604647;44,16111844;50,32644001;48,50857825;38,29362501;0;44,46319743;37,05801283;45,75728191;45,00818955;40,50484991;37,33479509;47,54243635;45,35231794;39,81860776;36,60152954;46,47869308;44,79576674;36,9005968;41,21593606;39,72957513;43,52966414;43,41031742;39,00842797;48,51513015;43,92441256;42,51656423;46,16967249;46,5734495;41,8181646;39,98085136;45,27931411;42,53756042;47,99719186;47,60959941;43,86974539;43,39019199;46,08361669;42,98618123;51,93562121;41,88103355;46,35570256;44,6279974;41,75708154;47,07866575;41,34245646;39,24874608;52,6190895;38,60603689;34,97924432;41,82600306;39,53370482;37,93804722
11;40,01938467;43,937463;47,36794027;36,6143977;50,15182158;44,60928766;46,39045407;47,65885699;52,28450335;49,10106648;44,46319743;0;39,96917024;56,00575585;52,2619162;43,47411946;46,02713259;55,13285138;48,21239203;47,44026406;51,42906611;52,44273683;51,22900793;53,23893694;48,80440611;49,50757792;49,86633075;47,83375822;44,03981711;49,29912967;40,11477316;48,26822934;45,50303951;51,93427361;46,46016685;51,60054903;45,51325783;46,37297822;48,74835798;42,86200257;51,44743921;52,49410662;50,2470311;50,11976037;62,07403975;47,19450198;57,05390177;48,24488239;46,32147025;49,71726852;49,87681971;45,14314903;54,64149602;41,71849833;47,48558546;41,98269285;39,44369507;48,17656838
12;40,57889126;43,85226116;46,01053018;37,34939758;42,48753447;46,50368699;40,48942227;48,81386219;49,43092378;42,21660617;37,05801283;39,96917024;0;50,92041116;43,5614881;38,39216158;34,78813874;47,13441727;41,41566131;35,93535182;37,09046508;45,78259467;37,28086762;40,72370752;35,12967033;38,59760681;42,11082447;47,76395167;37,68409191;44,63428846;46,8169316;41,65405305;40,91981388;44,19638846;38,31134804;40,77354159;40,56137817;36,97380027;47,77597505;42,62415155;40,6758982;42,95880699;47,2616985;33,41471586;54,38151699;41,26142895;47,13752296;41,88909849;37,84365157;46,72506052;43,12307793;37,53832897;40,38193312;39,44305266;41,9076743;39,11401966;36,79493355;39,28328021
13;51,42049978;58,07118989;58,81518277;49,10393949;40,67597859;46,47257542;45,76892974;46,02135805;42,35650008;48,44720771;45,75728191;56,00575585;50,92041116;0;65,62361161;55,51480407;44,51547926;48,10653277;52,72708863;55,25507136;43,61580499;47,53946673;59,00744126;40,33627967;53,88285999;45,10904194;59,00385258;39,80863211;51,97422551;64,82785381;47,75606966;44,42893475;54,77013036;54,04211177;54,17560574;46,7340345;59,7140939;53,09329275;55,47120265;59,46472856;42,28049143;52,7665098;46,91910152;57,34692402;45,365778;49,91055744;45,15018476;48,20893037;52,05263306;42,78863664;48,55052225;47,04744728;64,25735709;45,95137203;45,27339744;47,82497587;50,56982136;45,85245496
14;47,84578929;46,40350739;45,83153322;47,68821617;54,47015406;59,75751791;54,83924596;57,5512053;61,79004489;45,97417492;45,00818955;52,2619162;43,5614881;65,62361161;0;39,03434807;52,61842356;49,17218962;46,73734211;42,37676068;49,27454105;47,43837089;38,50209953;49,55786813;42,38884096;51,39259879;43,60607062;59,79043481;45,82054282;39,29004329;60,431871;53,10116303;50,90739795;50,71887066;38,43146122;40,6951596;40,01713074;41,89560808;47,1896013;55,91643925;52,68760676;54,09523813;59,81037265;43,22329046;65,91036066;40,77688801;50,10331454;44,3929948;44,36732923;54,87364634;50,76533676;46,40185501;44,85785405;49,80741043;53,3997975;48,63734196;46,79703019;47,85405727
15;42,19587309;39,47720367;41,4932981;39,74630149;41,93543073;51,48524367;45,25627209;47,01341306;47,90789092;37,98982467;40,50484991;43,47411946;38,39216158;55,51480407;39,03434807;0;44,49184832;47,74649159;47,83630453;43,47286361;41,32668724;40,94259645;43,08902316;49,50819681;45,58189872;46,54898552;41,16447189;45,26229717;42,12106539;43,06536454;47,08322661;53,8102121;46,36794124;46,82728213;37,04442151;40,90494393;33,67386171;43,98128259;39,3711192;49,16503348;49,7333659;50,58207295;52,33751043;48,13113542;59,23675455;40,55973196;49,30004874;41,55782529;30,84701506;48,52001016;45,84075943;42,52318502;47,17412438;46,49131241;49,42079802;42,05029146;45,04902626;39,16777805
16;42,59656927;53,94676426;55,06213087;42,16303831;37,90243595;37,91571133;37,1033332;44,10900262;38,79631082;40,88245019;37,33479509;46,02713259;34,78813874;44,51547926;52,61842356;44,49184832;0;51,37610009;45,08502568;45,73800044;38,92408301;48,60166229;48,86765466;42,3483892;42,59336945;39,90761129;47,82210889;42,60514665;42,73262887;57,56839321;41,26649171;40,8404438;40,19555903;45,67778038;41,73613714;47,25601726;51,0354722;45,35946907;54,27170546;44,9477388;46,69050971;45,02971327;40,74598618;45,95375534;48,56768066;44,35118217;50,30521038;44,23319715;44,1945791;45,84966925;42,14692343;37,97148975;54,24331295;40,31324043;42,24381905;39,9828632;44,32327765;38,77030445
17;53,82035726;55,07495171;44,49953005;42,46540455;51,7621257;52,33142113;49,21790308;48,74893107;48,89187811;44,3180031;47,54243635;55,13285138;47,13441727;48,10653277;49,17218962;47,74649159;51,37610009;0;40,71194488;44,95757903;48,44897545;48,20816596;48,67349361;44,0474475;44,90907221;40,41879727;47,38920962;50,88543259;44,41789688;52,66704204;57,86135129;48,72594457;46,21312449;48,47406695;47,38811255;39,66301007;53,46481582;44,54040984;53,47762113;56,17303072;30,67932506;42,33558675;47,34367919;43,26806029;40,56509794;42,0927276;46,21996154;44,61438769;47,55598705;45,28593181;41,24999764;48,38961107;42,27486839;46,27354386;47,00445927;46,29828432;47,57626207;44,58036703
18;42,60344035;49,93934885;42,29877311;38,88851517;52,50876688;47,68253366;45,53511782;46,6327561;53,1753395;44,82942995;45,35231794;48,21239203;41,41566131;52,72708863;46,73734211;47,83630453;45,08502568;40,71194488;0;38,39996241;48,69520287;44,74979831;44,40098127;44,28017245;38,89931166;41,147465;48,6758885;48,58873723;42,9411336;50,89393698;51,49927915;42,06054924;39,33870804;38,16112461;43,91811881;39,4764029;50,94127409;38,49607494;47,36520873;48,32113452;38,15291487;40,78815543;46,17827567;37,21668479;47,50720889;41,0174187;47,78264261;43,5266623;46,08271331;47,11923574;35,73216696;44,79650765;46,18414219;38,97520471;42,81826125;42,14976493;38,40053332;40,10339598
19;48,23050994;48,73232145;46,97228397;41,0723096;52,46839524;54,89747143;46,39166677;53,96954027;55,67637478;42,06517143;39,81860776;47,44026406;35,93535182;55,25507136;42,37676068;43,47286361;45,73800044;44,95757903;38,39996241;0;47,74267319;47,18888719;37,44901164;44,30703907;42,49354547;37,7471307;40,32676189;50,93154072;39,76042907;48,24687463;50,37649263;43,67743615;45,24793855;41,11013441;45,65223351;41,68834137;45,28429014;38,71322344;46,7763336;46,83631306;43,44423299;41,6085462;49,46253669;39,16276452;55,41665105;42,74516004;50,86189951;41,20253135;45,3309923;50,20669167;40,37296615;45,96897731;43,71703208;40,27599616;38,71673266;42,51291701;40,51521815;42,89292463
